time,total_slot_ms
1378,0
1379,0
1380,2775852
1381,2251
1382,6379
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,2646442
1393,1109695
1394,0
1395,0
1396,0
1397,0
1398,0
1399,559
1400,0
1401,0
1402,0
1403,0
1404,2840311
1405,224517
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,415
1413,0
1414,0
1415,0
1416,2555706
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,2636195
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,4134387
1441,413103
1442,10559
1443,0
1444,770
1445,0
1446,0
1447,0
1448,0
1449,1099
1450,695
1451,0
1452,3298649
1453,586
1454,645
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,2937676
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,1433273
1476,6328155
1477,420632
1478,0
1479,0
1480,0
1481,30488
1482,0
1483,0
1484,332737
1485,0
1486,0
1487,0
1488,2495566
1489,377965
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,1894741
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,10625
1512,3074295
1513,23133
1514,11282
1515,11948
1516,11265
1517,21148
1518,2663
1519,2296
1520,24499
1521,2492
1522,8727
1523,33465
1524,2274069
1525,3852
1526,6037
1527,2730
1528,19049
1529,4613
1530,3238019
1531,2370062
1532,4854
1533,3621
1534,0
1535,150645
1536,3111082
1537,65880
1538,80138
1539,35683
1540,77433
1541,111428
1542,2462604
1543,2572319
1544,99028
1545,83314
1546,237923
1547,178591
1548,3471466
1549,334101
1550,103928
1551,57129
1552,49962
1553,41927
1554,3125262
1555,2301778
1556,1906973
1557,58789
1558,86639
1559,4806656
1560,3620516
1561,246516
1562,268795
1563,4717453
1564,11048176
1565,8311
1566,1736166
1567,9729909
1568,1262897
1569,8331
1570,3884
1571,57262
1572,2413937
1573,5436
1574,25746
1575,30218
1576,15211
1577,4083
1578,2758657
1579,2080789
1580,398477
1581,968
1582,95783
1583,46651
1584,2078679
1585,13736
1586,0
1587,0
1588,6418380
1589,131647
1590,4114410
1591,1747345
1592,35032
1593,0
1594,0
1595,46560
1596,3915352
1597,1597
1598,505
1599,0
1600,0
1601,3173
1602,2980556
1603,2485284
1604,83212
1605,0
1606,0
1607,0
1608,4158962
1609,4020
1610,0
1611,0
1612,0
1613,0
1614,2348167
1615,2390816
1616,166990
1617,0
1618,0
1619,449930
1620,3960895
1621,0
1622,0
1623,0
1624,0
1625,1345
1626,3390976
1627,2232356
1628,64310
1629,0
1630,0
1631,0
1632,3622497
1633,376849
1634,0
1635,801
1636,2837
1637,0
1638,2432310
1639,2188790
1640,96107
1641,0
1642,739
1643,3609
1644,7152012
1645,0
1646,0
1647,0
1648,0
1649,16426
1650,3272501
1651,4121832
1652,61007
1653,0
1654,0
1655,0
1656,2390726
1657,4067
1658,0
1659,0
1660,0
1661,0
1662,1695742
1663,1802032
1664,61607
1665,0
1666,0
1667,0
1668,2906259
1669,1863
1670,0
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,2321454
1681,984
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,2721790
1693,169912
1694,0
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,1859336
1705,823
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,1026459
1717,114567
1718,114567
1719,114567
1720,114566
1721,114567
1722,114567
1723,114567
1724,114567
1725,114566
1726,325870
1727,0
1728,2428770
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0
1738,0
1739,0
1740,2950456
1741,0
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,0
1750,0
1751,0
1752,3543552
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,1054578
1764,4029916
1765,1406190
1766,0
1767,0
1768,0
1769,35722
1770,0
1771,0
1772,162675
1773,0
1774,0
1775,0
1776,2422897
1777,748294
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,2619879
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,0
1797,0
1798,0
1799,28200
1800,2052714
1801,27703
1802,2014
1803,3091
1804,7966
1805,5311
1806,2693
1807,2834
1808,1920
1809,2926
1810,2754
1811,9575
1812,3053559
1813,17826
1814,15636
1815,2243
1816,4908
1817,12916
1818,2766703
1819,1815712
1820,62741
1821,6749
1822,13383
1823,155145
1824,2236052
1825,139890
1826,181187
1827,161861
1828,107521
1829,139785
1830,1909622
1831,2498482
1832,208502
1833,97295
1834,67506
1835,144159
1836,2575340
1837,713759
1838,1454849
1839,121095
1840,178623
1841,298718
1842,2324489
1843,1571808
1844,339642
1845,4922
1846,2206
1847,53058
1848,2830944
1849,30241
1850,4133
1851,7219
1852,1150
1853,187182
1854,2427278
1855,4133800
1856,111450
1857,384
1858,0
1859,17057
1860,2668945
1861,3155
1862,10682
1863,0
1864,0
1865,0
1866,2185032
1867,1828137
1868,103513
1869,0
1870,0
1871,370881
1872,1998706
1873,0
1874,0
1875,68181
1876,0
1877,0
1878,2626004
1879,3209190
1880,219411
1881,0
1882,0
1883,42323
1884,3309884
1885,16044
1886,0
1887,0
1888,0
1889,2760
1890,2831265
1891,2113147
1892,587420
1893,173295
1894,0
1895,2296
1896,2702991
1897,0
1898,0
1899,0
1900,0
1901,0
1902,2545701
1903,1823725
1904,40876
1905,1838
1906,0
1907,0
1908,2918547
1909,124
1910,4548563
1911,0
1912,0
1913,1374231
1914,3069705
1915,2981443
1916,159330
1917,0
1918,0
1919,0
1920,1861259
1921,0
1922,0
1923,851
1924,2611
1925,85953
1926,2336131
1927,2585797
1928,87865
1929,0
1930,1819
1931,3174
1932,2541649
1933,0
1934,0
1935,0
1936,9325
1937,194342
1938,1175138
1939,2224770
1940,43854903
1941,0
1942,0
1943,0
1944,1813072
1945,7168
1946,0
1947,0
1948,0
1949,0
1950,2366457
1951,1949549
1952,39421
1953,0
1954,0
1955,0
1956,2376402
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,1643636
1969,950
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,2229542
1981,6158
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,1124342
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,1652017
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,1841013
2017,410
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,2261889
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,1059952
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,914001
2052,2550490
2053,550366
2054,0
2055,0
2056,0
2057,14504
2058,0
2059,0
2060,146015
2061,0
2062,0
2063,0
2064,1753066
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,0
2075,0
2076,2242250
2077,0
2078,0
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,2787
2088,1005233
2089,2012
2090,1870
2091,2376
2092,1713
2093,1799
2094,1656
2095,10701
2096,1742
2097,1339
2098,1740
2099,18537
