time,total_slot_ms
809,0
810,16110946
811,833604
812,388386
813,7034576
814,0
815,0
816,51577674
817,28593282
818,6320224
819,1881180
820,3578676
821,11548
822,16406311
823,0
824,0
825,7963993
826,0
827,0
828,60270906
829,33379943
830,6940483
831,6437666
832,20936242
833,10392
834,14314501
835,1080197
836,0
837,0
838,0
839,2946016
840,4285807
841,69616708
842,11129241
843,2666279
844,635752
845,4088814
846,13390560
847,162635
848,0
849,0
850,4772358
851,0
852,46090864
853,35718140
854,5109503
855,1369378
856,0
857,0
858,12914362
859,181619
860,0
861,2257924
862,3107848
863,0
864,32831256
865,17767768
866,4223415
867,1569534
868,3837461
869,74873
870,12372479
871,117318
872,6797
873,484062
874,3688340
875,0
876,18487840
877,11274631
878,7245997
879,1546418
880,138708
881,0
882,11062410
883,533217
884,424004
885,124996
886,12072199
887,0
888,25848785
889,23973245
890,18802554
891,3980585
892,14033821
893,6240480
894,126789
895,10281256
896,193563
897,574139
898,16206103
899,1246642
900,31856960
901,16960755
902,3315367
903,2169947
904,1608270
905,1658176
906,6468251
907,1225971
908,1600584
909,0
910,1929846
911,148665
912,41126707
913,16527163
914,22728656
915,3177954
916,5727443
917,6305004
918,6060000
919,8647020
920,214722
921,289440
922,221472
923,3561875
924,248880
925,47954265
926,43781165
927,1160633
928,1836319
929,500035
930,498358
931,3389578
932,344659
933,6502317
934,11685800
935,2884571
936,5788470
937,7094154
938,37716620
939,7240125
940,1466752
941,1574080
942,449170
943,7218564
944,3696307
945,663914
946,775864
947,746095
948,16105721
949,13782278
950,5303160
951,13604511
952,1987184
953,13624447
954,3309660
955,3171986
956,961531
957,5754308
958,386155
959,106259583
960,104238203
961,127525019
962,12228205
963,8986592
964,5784361
965,4593926
966,11521431
967,4585200
968,10777983
969,2491144
970,4019793
971,2596794
972,5919367
973,35564202
974,9316212
975,7587281
976,2412164
977,4425074
978,3191150
979,5096650
980,12029580
981,18686878
982,2631808
983,941635
984,961960
985,11516661
986,106893063
987,56918623
988,89917311
989,10085467
990,21793906
991,19207971
992,7118741
993,6510130
994,17509232
995,305597643
996,248420778
997,42586527
998,20882768
999,50240920
1000,1899654
1001,5658289
1002,7305179
1003,470603
1004,195038
1005,0
1006,1491952
1007,31851
1008,19709380
1009,17855942
1010,1196730
1011,3520040
1012,2006765
1013,211198
1014,4171016
1015,494997
1016,514084
1017,770596
1018,3056345
1019,48642
1020,32377445
1021,13510652
1022,3921113
1023,124231
1024,1307464
1025,0
1026,6192573
1027,1497173
1028,39980
1029,220831
1030,3024966
1031,0
1032,21589571
1033,33603382
1034,0
1035,3915235
1036,3499085
1037,1761346
1038,7544074
1039,146603
1040,566
1041,7403060
1042,4551220
1043,0
1044,39504420
1045,24752412
1046,4476574
1047,497503
1048,853133
1049,1151
1050,3747462
1051,22856809
1052,83541
1053,1242038
1054,2673258
1055,0
1056,20096642
1057,47454711
1058,413401
1059,7306576
1060,1835894
1061,3812904
1062,9682154
1063,414635
1064,303944
1065,0
1066,2451248
1067,93758
1068,33385944
1069,18474682
1070,2601978
1071,1791980
1072,1959308
1073,55046
1074,7372400
1075,3399807
1076,0
1077,0
1078,4528283
1079,7910
1080,24381014
1081,18381151
1082,5026116
1083,142932
1084,4424811
1085,823635
1086,10746127
1087,22984052
1088,19254
1089,27846
1090,4132252
1091,953149
1092,32075694
1093,17497876
1094,4861592
1095,1753382
1096,0
1097,0
1098,8592032
1099,196056
1100,176563
1101,3620004
1102,0
1103,0
1104,23068217
1105,44278871
1106,5235643
1107,56275537
1108,1161437
1109,2607092
1110,10249238
1111,126467
1112,0
1113,0
1114,4012728
1115,14082
1116,28636420
1117,12352702
1118,4261726
1119,1206590
1120,0
1121,0
1122,9667242
1123,153987
1124,0
1125,0
1126,4107732
1127,0
1128,27764432
1129,14368090
1130,6035601
1131,194542
1132,1407373
1133,9190582
1134,9945448
1135,102011
1136,0
1137,0
1138,4456060
1139,0
1140,40710555
1141,13337569
1142,6379201
1143,981212
1144,0
1145,0
1146,10297186
1147,177443
1148,0
1149,0
1150,2765738
1151,0
1152,21035345
1153,13639207
1154,12569255
1155,3942337
1156,1203586
1157,5116496
1158,12057422
1159,158305
1160,13096
1161,7445
1162,3698639
1163,89744
1164,19306079
1165,11787426
1166,19098013
1167,1374037
1168,1218868
1169,15093
1170,10550754
1171,104914
1172,1783
1173,78695
1174,4567832
1175,0
1176,23384698
1177,21519530
1178,6660978
1179,16739384
1180,15460204
1181,3805852
1182,3436333
1183,6979881
1184,0
1185,592721
1186,18035646
1187,752018
1188,110476
1189,31107593
1190,11692503
1191,3479560
1192,1280474
1193,1118435
1194,5187789
1195,1542208
1196,1484256
1197,0
1198,3720731
1199,123169
1200,2771828
1201,40180935
1202,5136813
1203,19819600
1204,4348495
1205,3989698
1206,5217407
1207,6852030
1208,96689
1209,679234
1210,125000
1211,795936
1212,5127551
1213,70068702
1214,21224763
1215,7214486
1216,15287980
1217,11407745
1218,472367
1219,4447974
1220,1824950
1221,8895884
1222,10730822
1223,1461181
1224,18999397
1225,14943964
1226,17329064
1227,7320259
1228,11861802
1229,2172336
1230,3526994
1231,5629842
1232,5255877
1233,3290634
1234,943275
1235,5147152
1236,26535537
1237,21514354
1238,11508667
1239,8822707
1240,4764856
1241,12967395
1242,12008992
1243,5928622
1244,11807801
1245,2098671
1246,106010808
1247,98058836
1248,88780148
1249,15461785
1250,22398659
1251,15463010
1252,7424374
1253,8625302
1254,8058379
1255,6942590
1256,6675849
1257,6488484
1258,9773152
1259,6779104
1260,11583220
1261,46890182
1262,10795100
1263,33176262
1264,12046894
1265,12055406
1266,9615660
1267,10006283
1268,11580052
1269,19701230
1270,19608776
1271,10494437
1272,24183723
1273,9481550
1274,8510616
1275,15600018
1276,9852408
1277,15631936
1278,6936719
1279,10133294
1280,18636333
1281,11240926
1282,4787442
1283,12888384
1284,35156817
1285,23373637
1286,21878470
1287,14097026
1288,3738056
1289,5552009
1290,628533
1291,3502471
1292,0
1293,345866
1294,1391530
1295,622973
1296,2494147
1297,30365049
1298,8841319
1299,13375956
1300,916455
1301,25302525
1302,6738006
1303,6594821
1304,59246248
1305,1199911
1306,2280913
1307,128551
1308,19112504
1309,12615421
1310,7772558
1311,13114147
1312,6466154
1313,1446230
1314,10916444
1315,918390
1316,7828
